"pid","wave","bmonth","byear","race","sex","marital","edu","age","year","region","hw","tenure","empdummy","workexp","race1","race2","race3","marital1","marital2","marital3","marital4","marital5","sex1","sex2","region1","region2","region3","region4","lhw","workexp2","tenure2","edu_c"
1,5,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",23,2005,"NORTHEAST",14.62878,172,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.682991,1,29584,12
1,6,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",24,2006,"NORTHEAST",10.62996,221,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.363677,4,48841,12
1,7,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",25,2007,"NORTHEAST",12.64577,230,1,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.537323,9,52900,12
1,8,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",26,2008,"NORTHEAST",10.353,100,1,4,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.337276,16,10000,12
1,9,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",27,2009,"NORTHEAST",11.14027,150,1,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.410566,25,22500,12
1,10,9,1981,"NON-BLACK, NON-HISPANIC","FEMALE","NEVER MARRIED","4TH YR COL",28,2010,"NORTHEAST",10.31845,211,1,6,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2.333934,36,44521,12
2,1,7,1982,"HISPANIC","MALE","NEVER MARRIED","1ST YR COL",18,2001,"NORTHEAST",6.775833,70,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1.913362,0,4900,9
2,3,7,1982,"HISPANIC","MALE","NEVER MARRIED","1ST YR COL",20,2003,"NORTHEAST",5.434783,39,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1.692819,0,1521,9
2,4,7,1982,"HISPANIC","MALE","NEVER MARRIED","2ND YR COL",21,2004,"NORTHEAST",13.23452,42,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2.582828,1,1764,10
2,5,7,1982,"HISPANIC","MALE","NEVER MARRIED","2ND YR COL",22,2005,"NORTHEAST",11.57194,108,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2.448583,4,11664,10
2,9,7,1982,"HISPANIC","MALE","NEVER MARRIED","2ND YR COL",26,2009,"NORTHEAST",10.75805,130,1,6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2.375654,36,16900,10
2,10,7,1982,"HISPANIC","MALE","NEVER MARRIED","2ND YR COL",27,2010,"NORTHEAST",12.83157,191,1,7,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2.551908,49,36481,10
3,1,9,1983,"HISPANIC","FEMALE","NEVER MARRIED","12TH GRADE",17,2001,"NORTHEAST",7.340486,100,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.993405,0,10000,8
3,4,9,1983,"HISPANIC","FEMALE","NEVER MARRIED","2ND YR COL",20,2004,"NORTHEAST",9.264161,19,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2.226153,9,361,10
3,9,9,1983,"HISPANIC","FEMALE","NEVER MARRIED","2ND YR COL",25,2009,"SOUTH",6.082867,141,1,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1.805476,64,19881,10
4,3,2,1981,"HISPANIC","FEMALE","NEVER MARRIED","12TH GRADE",21,2003,"NORTHEAST",6.429348,85,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.860873,0,7225,8
4,4,2,1981,"HISPANIC","FEMALE","NEVER MARRIED","12TH GRADE",22,2004,"NORTHEAST",6.426681,134,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.860458,0,17956,8
4,5,2,1981,"HISPANIC","FEMALE","NEVER MARRIED","12TH GRADE",23,2005,"NORTHEAST",6.497696,148,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.871448,0,21904,8
