"satisfaction","income","job_income","parents_income","rent_space","rent_price","study_hours","work_hours","grade","siblings","course","TV_size","attitude_cannabis","use_cannabis","health","partner","gender","year","food_expenses"
5,780,2500,1200,20,260,5,6,2,2,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good",NA,"Male",2015,NA
4,330,3000,5500,54,325,3,0,2.40000009536743,0,"Both","Small (32'' or less)","No, cannabis should not be legalized.","No, I never used cannabis.","Satisfactory","No","Male",2015,NA
8,880,NA,NA,NA,NA,NA,NA,NA,NA,"Econometrics",NA,NA,NA,NA,NA,NA,2015,NA
8,880,NA,NA,39,325,2,15,2,0,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","No, I never used cannabis.","Very good","No","Male",2015,NA
6,400,3000,1230,33,215,60,0,3,0,"Statistics I","Don't have a TV.","No, cannabis should not be legalized.","No, I never used cannabis.","Satisfactory","No","Female",2015,NA
7,900,40000,0,56,418,10,10,3,0,"Both","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
8,750,2500,7500,23,270,5,0,NA,1,"Econometrics","Medium (33'' to 49'')","No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Good","No","Female",2015,NA
8,860,NA,12000,60,340,25,NA,2,4,"Econometrics","Don't have a TV.","Don't know.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
3,200,2500,5500,55,110,NA,6,1.39999997615814,1,"Statistics I","Small (32'' or less)","Yes, cannabis should be legalized.","No, I never used cannabis.","Satisfactory","No","Female",2015,NA
2,0,2000,2000,50,225,7,0,2,1,"Statistics I","Don't have a TV.","No, cannabis should not be legalized.","No, I never used cannabis.","Good","Yes","Female",2015,NA
7,587,4000,750,15,184,18,10,1.29999995231628,0,"Econometrics","Don't have a TV.","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Male",2015,NA
7,550,1500,7500,94,650,25,0,2.29999995231628,0,"Statistics I","Large (50'' or more)","Don't know.","Yes, I used cannabis at least once.","Good","Yes","Female",2015,NA
1,550,2500,1100,74,0,14,10,2,1,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
8,700,NA,NA,70,275,12,30,2,1,"Both","Small (32'' or less)","Yes, cannabis should be legalized.","No, I never used cannabis.","Good","No","Female",2015,NA
5,0,3200,NA,15,170,2,20,2.40000009536743,3,"Statistics I","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Satisfactory","No","Male",2015,NA
3,0,500,2000,15,0,20,0,2.59999990463257,3,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","No, I never used cannabis.","Poor","No","Male",2015,NA
5,250,3000,3500,35,190,40,NA,2.40000009536743,0,"Econometrics","Medium (33'' to 49'')","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Male",2015,NA
7,NA,800,NA,20,280,10,NA,1.89999997615814,1,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2015,NA
5,600,1500,NA,30,200,10,0,2.5,2,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Prefer not to say.","Satisfactory","Yes","Male",2015,NA
3,0,2000,25000,100,290,14,0,2.20000004768372,2,"Econometrics","Don't have a TV.","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Male",2015,NA
3,950,1500,7000,35,375,30,15,5,1000,"Econometrics","Small (32'' or less)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
3,NA,NA,NA,75,550,10,15,1,1,"Statistics I","Medium (33'' to 49'')","No, cannabis should not be legalized.","No, I never used cannabis.","Very good","Yes","Female",2015,NA
9,375,2500,3800,44.5,0,34,16,2.70000004768372,1,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
2,200,NA,NA,39,0,8,NA,NA,1,"Econometrics","Medium (33'' to 49'')","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Female",2015,NA
8,870,1800,3000,36,290,30,0,2,1,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Female",2015,NA
6,800,27000,3300,50,210,15,15,3,2,"Econometrics","Don't have a TV.","Don't know.","No, I never used cannabis.","Satisfactory","No","Male",2015,NA
4,0,1500,5000,28,340,7,0,1.70000004768372,1,"Statistics I","Don't have a TV.","Don't know.","Yes, I used cannabis at least once.","Satisfactory","Yes","Female",2015,NA
6,1830,2500,40000,50,350,6,10,2,2,"Both","Large (50'' or more)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Satisfactory","Yes","Male",2015,NA
8,1300,4000,5000,100,730,NA,30,NA,2,"Econometrics","Large (50'' or more)","No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2015,NA
10,0,2000,3000,25,210,15,15,1,0,"Both","Large (50'' or more)","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Female",2015,NA
8,650,1800,NA,45,250,3,NA,NA,NA,"Econometrics","Don't have a TV.",NA,NA,NA,NA,NA,2015,NA
8,650,1800,NA,45,250,30,35,2.29999995231628,1,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2015,NA
6,600,3000,3000,60,250,6,7,1.70000004768372,1,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","No, I never used cannabis.","Satisfactory","Yes","Male",2015,NA
9,650,4500,10000,14,195,30,0,2,1,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Male",2015,NA
8,50,1500,250,10,160,10,20,2,0,"Econometrics","Don't have a TV.","Don't know.","No, I never used cannabis.","Very good","No","Female",2015,NA
6,500,600,1500,NA,198,20,0,2.59999990463257,0,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Female",2015,NA
5,300,2000,5000,24,250,40,0,1.89999997615814,2,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","No, I never used cannabis.","Satisfactory","No","Male",2015,NA
8,1200,3077,3200,30,308,20,20,2.29999995231628,5,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","No","Male",2015,NA
6,0,1000,4000,80,200,15,0,2.79999995231628,0,"Both","Don't have a TV.","No, cannabis should not be legalized.","No, I never used cannabis.","Good","Yes","Female",2015,NA
7,300,2000,4000,95,232,5,0,2,1,"Both","Don't have a TV.","Don't know.","No, I never used cannabis.","Good","No","Female",2015,NA
7,1015,3300,5500,75,400,35,0,1.83000004291534,0,"Statistics I","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
8,600,2000,3000,54,460,16,0,2.5,2,"Econometrics","Small (32'' or less)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Very good","Yes","Male",2015,NA
5,600,2000,4500,20,200,8,10,2.20000004768372,1,"Econometrics","Medium (33'' to 49'')","No, cannabis should not be legalized.","No, I never used cannabis.","Good","No","Male",2015,NA
9,200,2000,4000,24,200,4,4,2.29999995231628,1,"Econometrics","Medium (33'' to 49'')","Don't know.","No, I never used cannabis.","Good","No","Male",2015,NA
7,370,1000,NA,NA,170,14,12,2.70000004768372,5,"Econometrics","Don't have a TV.","No, cannabis should not be legalized.","Yes, I used cannabis at least once.","Good","No","Female",2015,NA
4,590,NA,5000,24,250,6,8,2.20000004768372,1,"Econometrics","Don't have a TV.","Yes, cannabis should be legalized.","No, I never used cannabis.","Satisfactory","No","Male",2015,NA
8,1400,2500,2000,40,300,15,25,2.70000004768372,1,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2015,NA
7,900,2000,3000,15,190,25,16,3,0,"Econometrics","Large (50'' or more)","Yes, cannabis should be legalized.","Prefer not to say.","Good","Yes","Male",2015,NA
3,80,2800,3000,18,186,5,0,NA,1,"Econometrics","Medium (33'' to 49'')","Don't know.","No, I never used cannabis.","Good","No","Male",2015,NA
6,300,2000,6000,69,495,10,15,2,1,"Econometrics","Small (32'' or less);Medium (33'' to 49'')","No, cannabis should not be legalized.","No, I never used cannabis.","Good","Yes","Male",2015,NA
8,360,1800,5000,68,430,8,11,1.70000004768372,2,"Econometrics","Small (32'' or less)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Female",2015,NA
9,13000,NA,NA,NA,NA,NA,NA,NA,NA,"Econometrics",NA,NA,NA,NA,NA,NA,2015,NA
9,1100,4000,8000,62,400,2,8,2.5,0,"Econometrics","Medium (33'' to 49'')","Don't know.","Yes, I used cannabis at least once.","Very good","Yes","Male",2015,NA
9,1000,4000,4000,95,745,16,13,2.09999990463257,3,"Econometrics","Medium (33'' to 49'')","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","No","Male",2015,NA
3,0,40000,260000,48,205,1,1,1.88999998569489,1,"Both","Small (32'' or less)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Good","Yes","Male",2015,NA
3,1500,2500,2000,30,360,30,8,2,1,"Statistics I","Small (32'' or less)","Yes, cannabis should be legalized.","Yes, I used cannabis at least once.","Satisfactory","Yes","Female",2015,NA
10,1800,NA,4500,NA,169,NA,0,1,3,"Econometrics","Small (32'' or less)","Yes, cannabis should be legalized.","Prefer not to say.","Very good","No","Female",2015,NA
8,450,NA,4800,42,240,4,16,3,0,"Econometrics","Small (32'' or less)","Yes, cannabis should be legalized.","No, I never used cannabis.","Very good","Yes","Male",2015,NA
